route,http_code,time_connect,time_starttransfer,time_total,speed_download,size_download,content_type
"/",200,0.000113,3.353364,3.357101,314457,1055665,"text/html; charset=UTF-8"
"about-us",200,0.000244,0.567515,0.569242,1158006,659186,"text/html; charset=UTF-8"
"account_assets",200,0.000179,15.022551,15.024074,39705,596543,"text/html; charset=UTF-8"
"account_assets/create",200,0.000101,0.914279,0.915697,70617,64664,"text/html; charset=UTF-8"
"account-dashboard",200,0.000140,2.350048,2.350989,443642,1042999,"text/html; charset=UTF-8"
"account_statements/export",200,0.000085,2.804869,2.804928,2285,6411,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
"allowance_options",200,0.000108,0.427794,0.428513,126994,54419,"text/html; charset=UTF-8"
"allowance_options/create",200,0.000125,0.252984,0.253839,214596,54473,"text/html; charset=UTF-8"
"allowances",200,0.000096,0.472743,0.473972,1262551,598414,"text/html; charset=UTF-8"
"announcement",200,0.000084,1.816356,1.817258,330538,600673,"text/html; charset=UTF-8"
"announcements/create",200,0.000093,0.429327,0.430626,183525,79031,"text/html; charset=UTF-8"
"api/landingpage",200,0.000284,0.440608,0.441498,427442,188715,"text/html; charset=UTF-8"
"apis/chats/get-contacts",200,0.000208,0.463295,0.464510,406019,188600,"text/html; charset=UTF-8"
"apis/chats/search",200,0.000221,0.482230,0.483001,390386,188557,"text/html; charset=UTF-8"
"apis/get-projects",200,0.000199,0.351126,0.351865,536219,188677,"text/html; charset=UTF-8"
"appraisals",200,0.000221,0.544439,0.545170,418295,228042,"text/html; charset=UTF-8"
"appraisals/create",200,0.000186,0.457406,0.458181,497707,228040,"text/html; charset=UTF-8"
"attendances/imports/file",200,0.000100,0.335690,0.336891,1703147,573775,"text/html; charset=UTF-8"
"awards",200,0.000103,0.480235,0.481872,1232410,593864,"text/html; charset=UTF-8"
"awards/create",200,0.000097,0.302972,0.304325,219942,66934,"text/html; charset=UTF-8"
"award_types",200,0.000180,1.063533,1.064329,97048,103292,"text/html; charset=UTF-8"
"award_types/create",200,0.000187,0.353204,0.354107,285289,101023,"text/html; charset=UTF-8"
"bank_accounts",200,0.000273,0.759493,0.761350,1405638,1070183,"text/html; charset=UTF-8"
"bank_accounts/create",200,0.000204,2.101607,2.103201,512892,1078715,"text/html; charset=UTF-8"
"bank_transfers",200,0.000086,0.869991,0.871018,686445,597906,"text/html; charset=UTF-8"
"bank_transfers/create",200,0.000097,0.270924,0.271700,226591,61565,"text/html; charset=UTF-8"
"bank_transfers/index",200,0.000094,0.375472,0.376771,1588041,598328,"text/html; charset=UTF-8"
"bills",200,0.000157,0.537677,0.540095,1110173,599599,"text/html; charset=UTF-8"
"bills/create",200,0.000127,0.459788,0.461331,1411593,651212,"text/html; charset=UTF-8"
"bills/export",200,0.000173,0.822975,0.825711,1332363,1100147,"text/html; charset=UTF-8"
"billsindex",200,0.000105,0.407616,0.408599,1460852,596903,"text/html; charset=UTF-8"
"billsitems",200,0.000099,0.573056,0.573943,3,2,"application/json"
"branches",200,0.000114,0.213557,0.216397,2716132,587763,"text/html; charset=UTF-8"
"branches/create",200,0.000104,0.130149,0.130908,433777,56785,"text/html; charset=UTF-8"
"budgets",200,0.000106,0.524672,0.526071,1124342,591484,"text/html; charset=UTF-8"
"budgets/create",200,0.000137,0.314120,0.316847,1913595,606317,"text/html; charset=UTF-8"
"bug_status",200,0.000123,0.316106,0.317521,1853808,588623,"text/html; charset=UTF-8"
"bug_statuses/create",200,0.000129,0.148673,0.149928,377561,56607,"text/html; charset=UTF-8"
"candidates-job-applications",200,0.000111,1.024421,1.026803,581230,596809,"text/html; charset=UTF-8"
"changes/mode",200,0.000189,0.667365,0.668399,990718,662195,"text/html; charset=UTF-8"
"chart_of_accounts",200,0.000094,0.252610,0.253464,2341630,593519,"text/html; charset=UTF-8"
"chart_of_accounts/create",200,0.000095,0.097490,0.098257,642295,63110,"text/html; charset=UTF-8"
"chats",200,0.000092,0.433628,0.435300,1460404,635714,"text/html; charset=UTF-8"
"chats/get-contacts",200,0.000103,0.140860,0.141737,846,120,"application/json"
"chats/search",200,0.000087,0.211516,0.212556,74163,15764,"application/json"
"checkuserexists",200,0.000129,0.130418,0.130681,122,16,"application/json"
"clients",200,0.000138,0.370038,0.371948,1576572,586403,"text/html; charset=UTF-8"
"clients/create",200,0.000121,0.212885,0.214044,269986,57789,"text/html; charset=UTF-8"
"commissions",200,0.000089,0.278243,0.280195,2136744,598705,"text/html; charset=UTF-8"
"commissions/create",200,0.000226,0.383952,0.385529,1652373,637038,"text/html; charset=UTF-8"
"company_policies",200,0.000119,0.318940,0.320934,1875759,601995,"text/html; charset=UTF-8"
"company_policies/create",200,0.000111,0.136765,0.138560,485053,67209,"text/html; charset=UTF-8"
"competencies",200,0.000116,0.280945,0.282066,2117461,597264,"text/html; charset=UTF-8"
"competencies/create",200,0.000118,0.163631,0.164988,353486,58321,"text/html; charset=UTF-8"
"complaints",200,0.000108,0.330313,0.331627,1781914,590931,"text/html; charset=UTF-8"
"complaints/create",200,0.000099,0.144699,0.146088,459154,67077,"text/html; charset=UTF-8"
"confirm-password",200,0.000107,0.095347,0.096924,1323923,128320,"text/html; charset=UTF-8"
"contracts",200,0.000093,0.613205,0.614516,956772,587952,"text/html; charset=UTF-8"
"contracts/create",200,0.000110,0.602473,0.603310,288054,173786,"text/html; charset=UTF-8"
"contracts/grid",200,0.000139,0.210997,0.212727,2768943,589029,"text/html; charset=UTF-8"
"contract_types",200,0.000099,0.219492,0.220289,2681790,590769,"text/html; charset=UTF-8"
"contract_types/create",200,0.000091,0.095845,0.096661,593589,57377,"text/html; charset=UTF-8"
"coupons",200,0.000148,0.750897,0.752734,974042,733195,"text/html; charset=UTF-8"
"coupons/apply",200,0.000177,0.668018,0.670043,1592606,1067115,"text/html; charset=UTF-8"
"coupons/create",200,0.000106,0.139054,0.140285,457825,64226,"text/html; charset=UTF-8"
"create-language",200,0.000258,0.291897,0.293328,317245,93057,"text/html; charset=UTF-8"
"credit-notes",200,0.000152,0.383674,0.384618,1547080,595035,"text/html; charset=UTF-8"
"credit_notes/invoice",200,0.000109,0.100586,0.101577,88,9,"application/json"
"crm-dashboard",200,0.000115,0.271256,0.273614,2141834,586036,"text/html; charset=UTF-8"
"custom-credit-note",200,0.000106,0.222968,0.224065,732425,164111,"text/html; charset=UTF-8"
"custom-debit-note",200,0.000103,0.194393,0.195430,832686,162732,"text/html; charset=UTF-8"
"customers",200,0.000120,0.262108,0.263671,2270773,598737,"text/html; charset=UTF-8"
"customers/create",200,0.000132,0.114199,0.115791,620592,71859,"text/html; charset=UTF-8"
"customers/export",200,0.000242,0.563773,0.567464,1878912,1066215,"text/html; charset=UTF-8"
"customers/imports/file",200,0.000100,0.178333,0.179765,230851,41499,"text/html; charset=UTF-8"
"custom_fields",200,0.000101,0.206162,0.207184,2871433,594915,"text/html; charset=UTF-8"
"custom_fields/create",200,0.000096,0.105678,0.106525,537845,57294,"text/html; charset=UTF-8"
"custom_pages",200,0.000103,0.435331,0.436433,1427515,623015,"text/html; charset=UTF-8"
"custom_pages/create",200,0.000146,0.129235,0.130075,475702,61877,"text/html; charset=UTF-8"
"custom-question",200,0.000099,2.206670,2.208321,267073,589784,"text/html; charset=UTF-8"
"custom-questions/create",200,0.000101,0.115343,0.116047,496600,57629,"text/html; charset=UTF-8"
"dashboard",200,0.000088,0.197044,0.198053,3243056,642297,"text/html; charset=UTF-8"
"dashboard-view",200,0.000098,0.077217,0.078423,595679,46715,"text/html; charset=UTF-8"
"deals",200,0.000191,0.484393,0.487297,2214957,1079342,"text/html; charset=UTF-8"
"deals/create",200,0.000133,0.177558,0.178687,375505,67098,"text/html; charset=UTF-8"
"deals/list",200,0.000263,0.711923,0.714323,1511104,1079417,"text/html; charset=UTF-8"
"debit_notes",200,0.000094,0.200071,0.201470,2945346,593399,"text/html; charset=UTF-8"
"debit_notes/bill",422,0.000092,0.093711,0.094665,327,31,"application/json"
"_debugbars/assets/javascript",200,0.000144,0.087312,0.088283,3202258,282705,"text/javascript; charset=UTF-8"
"_debugbars/assets/stylesheets",200,0.000158,0.093021,0.093925,6833420,641829,"text/css; charset=UTF-8"
"_debugbars/open",200,0.000104,0.073710,0.074303,3795,282,"application/json"
"deduction_options",200,0.000119,0.361899,0.364388,1651923,601941,"text/html; charset=UTF-8"
"deduction_options/create",200,0.000119,0.103882,0.104656,550135,57575,"text/html; charset=UTF-8"
"departments",200,0.000097,0.193267,0.194273,3105048,603227,"text/html; charset=UTF-8"
"departments/create",200,0.000100,0.120828,0.121873,490806,59816,"text/html; charset=UTF-8"
"designations",200,0.000089,0.462745,0.465081,1296008,602749,"text/html; charset=UTF-8"
"designations/create",200,0.000103,0.154076,0.155141,385765,59848,"text/html; charset=UTF-8"
"discover",200,0.000155,0.312021,0.313817,1978567,620908,"text/html; charset=UTF-8"
"discover/create",200,0.000135,0.115915,0.116878,423869,49541,"text/html; charset=UTF-8"
"documents",200,0.000110,0.363198,0.365163,1653713,603875,"text/html; charset=UTF-8"
"documents/create",200,0.000135,0.169262,0.170475,330177,56287,"text/html; charset=UTF-8"
"document_uploads",200,0.000106,0.296530,0.299323,2051342,614014,"text/html; charset=UTF-8"
"document_uploads/create",200,0.000109,0.200825,0.201718,332454,67062,"text/html; charset=UTF-8"
"email_template",200,0.000089,0.789833,0.791307,1257398,994988,"text/html; charset=UTF-8"
"email_templates/create",404,0.000105,0.119940,0.121064,385143,46627,"text/html; charset=UTF-8"
"employee_attendances",200,0.000134,0.613221,0.614307,979886,601951,"text/html; charset=UTF-8"
"employee_attendances/bulk-attendance",200,0.000109,0.239589,0.240609,2486058,598168,"text/html; charset=UTF-8"
"employee_attendances/create",200,0.000090,0.326992,0.327866,185905,60952,"text/html; charset=UTF-8"
"employee-profile",200,0.000099,0.218493,0.220491,2717965,599287,"text/html; charset=UTF-8"
"employees",200,0.000106,0.211200,0.212218,2773007,588482,"text/html; charset=UTF-8"
"employees/create",200,0.000126,0.243713,0.244561,2572114,629039,"text/html; charset=UTF-8"
"employees/export",200,0.000083,0.098436,0.098474,66880,6586,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
"employees/imports/file",200,0.000098,0.330682,0.332049,146915,48783,"text/html; charset=UTF-8"
