# PHPStan Module Analysis — Level 3
Date: 2026-03-05 16:44:54

| Module                 | Status   | Errors   |
| ---------------------- | -------- | -------- |
| Abstracts              | FAIL     | 15       |
| Activity-Ctrl          | TIMEOUT  | -        |
| Activity-DealCtrl      | TIMEOUT  | -        |
| Activity-LeadCtrl      | FAIL     | 72       |
| Activity-Models        | TIMEOUT  | -        |
| Activity-PosCtrl       | TIMEOUT  | -        |
| Activity-PurchaseCtrl  | TIMEOUT  | -        |
| Activity-ReportCtrl    | TIMEOUT  | -        |
| Auth                   | FAIL     | 12       |
| Bills-BillCtrl         | TIMEOUT  | -        |
| Bills-Ctrl             | TIMEOUT  | -        |
| Bills-ExpenseCtrl      | TIMEOUT  | -        |
| Bills-InvoiceCtrl      | TIMEOUT  | -        |
| Bills-Models           | TIMEOUT  | -        |
| Bills-PayslipCtrl      | TIMEOUT  | -        |
| Bugs                   | FAIL     | 26       |
| Charts                 | FAIL     | 60       |
| Companies              | TIMEOUT  | -        |
| Configs                | TIMEOUT  | -        |
| Console                | FAIL     | 3        |
| Contact                | FAIL     | 104      |
| Exports                | TIMEOUT  | -        |
| Helpers                | FAIL     | 3        |
| Imports                | FAIL     | 6        |
| Individuals            | TIMEOUT  | -        |
| Info                   | TIMEOUT  | -        |
| Jobs                   | FAIL     | 2        |
| Mail                   | FAIL     | 2        |
| Middleware             | FAIL     | 40       |
| Planning               | TIMEOUT  | -        |
| Products               | FAIL     | 33       |
| Providers              | FAIL     | 5        |
| Services               | TIMEOUT  | -        |
| Shapes                 | TIMEOUT  | -        |
| Ssr                    | FAIL     | 15       |
| Traits                 | FAIL     | 2        |

Passed: 0 | Failed: 16 | Timeout: 20 | Skipped: 0 | Total errors: 400
