=== ROUTE VERIFICATION 2026-03-20 ===

--- AUTH ---
  ✅ 200  /login

--- DASHBOARDS ---
  ✅ 200  /
  ✅ 200  /dashboard
  ✅ 200  /account-dashboard
  ✅ 200  /crm-dashboard
  ↪  302  /hrm-dashboard
  ✅ 200  /pos-dashboard
  ✅ 200  /project-dashboard
  ✅ 200  /dashboard-view

--- HRM: CORE ---
  ✅ 200  /employees
  ✅ 200  /employees/create
  ✅ 200  /employee-profile
  ✅ 200  /employee_attendances
  ✅ 200  /employee_attendances/create
  ✅ 200  /employee_attendances/bulk-attendance
  ✅ 200  /departments
  ✅ 200  /departments/create
  ✅ 200  /designations
  ✅ 200  /designations/create
  ✅ 200  /branches
  ✅ 200  /branches/create

--- HRM: LEAVE & ATTENDANCE ---
  ✅ 200  /leaves/create
  ❌ 404  /leaves/export
  ✅ 200  /leave_types
  ✅ 200  /leave_types/create
  ✅ 200  /holidays
  ✅ 200  /holidays/create
  ✅ 200  /holiday-calendar

--- HRM: MEETINGS & AWARDS ---
  ✅ 200  /meetings
  ✅ 200  /meetings/create
  ✅ 200  /meeting-calendar
  ✅ 200  /awards
  ✅ 200  /awards/create
  ↪  302  /award_types
  ↪  302  /award_types/create

--- HRM: HR ACTIONS ---
  ✅ 200  /promotions
  ✅ 200  /promotions/create
  ✅ 200  /resignations
  ✅ 200  /resignations/create
  ✅ 200  /terminations
  ✅ 200  /terminations/create
  ✅ 200  /warnings
  ✅ 200  /warnings/create
  ✅ 200  /complaints
  ✅ 200  /complaints/create
  ✅ 200  /transfers
  ✅ 200  /transfers/create
  ✅ 200  /travels
  ✅ 200  /travels/create
  ✅ 200  /overtimes

--- HRM: TRAINING ---
  ✅ 200  /trainings
  ✅ 200  /trainings/create
  ✅ 200  /trainers
  ✅ 200  /trainers/create
  ✅ 200  /training_types
  ✅ 200  /training_types/create

--- HRM: PAYROLL ---
  ✅ 200  /set_salaries
  ↪  302  /set_salaries/create
  ✅ 200  /payslips
  ✅ 200  /payslips/create
  ↪  302  /payslips/employeepayslip
  ✅ 200  /allowances
  ✅ 200  /allowance_options
  ✅ 200  /deduction_options
  ✅ 200  /loan_options
  ✅ 200  /loans
  ✅ 200  /other_payments

--- HRM: PERFORMANCE ---
  ↪  302  /appraisals
  ↪  302  /appraisals/create
  ✅ 200  /goals
  ✅ 200  /goals/create
  ✅ 200  /goal_trackings
  ✅ 200  /goal_trackings/create
  ✅ 200  /goal_types
  ✅ 200  /goal_types/create
  ✅ 200  /indicators
  ✅ 200  /indicators/create
  ✅ 200  /competencies
  ✅ 200  /competencies/create
  ↪  302  /performance_types
  ↪  302  /performance_types/create

--- HRM: DOCUMENTS ---
  ✅ 200  /documents
  ✅ 200  /documents/create
  ✅ 200  /document_uploads
  ✅ 200  /document_uploads/create
  ✅ 200  /announcement
  ✅ 200  /announcements/create
  ✅ 200  /company_policies
  ✅ 200  /company_policies/create

--- FINANCE: INVOICES & BILLS ---
  ✅ 200  /invoices
  ↪  302  /invoices/create
  ↪  302  /invoices/export
  ✅ 200  /invoices/index
  ✅ 200  /invoices/items
  ✅ 200  /bills
  ✅ 200  /bills/create
  ↪  302  /bills/export
  ✅ 200  /billsindex
  ✅ 200  /billsitems

--- FINANCE: EXPENSES & REVENUE ---
  ✅ 200  /expenses
  ↪  302  /expenses/create
  ✅ 200  /expenses/index
  ✅ 200  /expenses/items
  ✅ 200  /expense-list
  ✅ 200  /revenues
  ✅ 200  /revenues/create
  ✅ 200  /revenues/index
  ✅ 200  /payments
  ✅ 200  /payments/create
  ✅ 200  /payments/index

--- FINANCE: NOTES & PROPOSALS ---
  ✅ 200  /credit-notes
  ✅ 200  /credit_notes/invoice
  ✅ 200  /custom-credit-note
  ✅ 200  /debit_notes
  ❌ 422  /debit_notes/bill
  ✅ 200  /custom-debit-note
  ✅ 200  /proposals/create
  ↪  302  /proposals/export
  ✅ 200  /proposals/items
  ✅ 200  /proposal

--- FINANCE: BANKING ---
  ↪  302  /bank_accounts
  ↪  302  /bank_accounts/create
  ✅ 200  /bank_transfers
  ✅ 200  /bank_transfers/create
  ✅ 200  /bank_transfers/index
  ✅ 200  /taxes
  ✅ 200  /taxes/create

--- FINANCE: ACCOUNTING ---
  ✅ 200  /chart_of_accounts
  ✅ 200  /chart_of_accounts/create
  ✅ 200  /journal_entries
  ✅ 200  /journal_entries/create
  ✅ 200  /budgets
  ✅ 200  /budgets/create
  ✅ 200  /transactions/export

--- CRM ---
  ✅ 200  /leads
  ✅ 200  /leads/create
  ↪  302  /leads/list
  ✅ 200  /lead_stages
  ✅ 200  /lead_stages/create
  ↪  302  /deals
  ✅ 200  /deals/create
  ↪  302  /deals/list
  ✅ 200  /pipelines
  ✅ 200  /pipelines/create
  ✅ 200  /sources
  ✅ 200  /sources/create
  ✅ 200  /stages
  ✅ 200  /stages/create
  ↪  302  /labels
  ✅ 200  /labels/create

--- PROJECTS ---
  ✅ 200  /projects
  ✅ 200  /projects/create
  ✅ 200  /projects-view
  ✅ 200  /projects-users
  ✅ 200  /project_stages
  ✅ 200  /project_stages/create
  ✅ 200  /project_task_stages
  ✅ 200  /project_task_stages/create
  ✅ 200  /project_reports
  ↪  302  /project_reports/create
  ✅ 200  /task-board-view

--- POS & PRODUCTS ---
  ↪  302  /pos
  ❌ 404  /pos/create
  ↪  302  /pos/barcode
  ✅ 200  /pos-print-setting
  ✅ 200  /warehouses
  ✅ 200  /warehouses/create
  ✅ 200  /warehouse_transfers
  ✅ 200  /warehouse_transfers/create
  ✅ 200  /purchases
  ✅ 200  /purchases/create
  ✅ 200  /product_services
  ↪  302  /product_services/create
  ✅ 200  /product_services/export
  ✅ 200  /product_service_categories
  ✅ 200  /product_service_categories/create
  ✅ 200  /product_service_units
  ✅ 200  /product_service_units/create
  ✅ 200  /product_stocks
  ✅ 200  /product_stocks/create
  ✅ 200  /product_stocks/export
  ✅ 200  /product-categories
  ✅ 200  /orders
  ✅ 200  /coupons
  ✅ 200  /coupons/create

--- REPORTS ---
  ✅ 200  /reports/account-statement-report
  ↪  302  /reports/bill-summary
  ✅ 200  /reports/expense-summary
  ✅ 200  /reports/income-summary
  ✅ 200  /reports/income-vs-expense-summary
  ✅ 200  /reports/invoice-report
  ✅ 200  /reports/invoice-summary
  ✅ 200  /reports/leave
  ↪  302  /reports/payables
  ✅ 200  /reports/payrolls/export
  ✅ 200  /reports/product-stock-report
  ↪  302  /reports/receivables
  ↪  302  /reports/sales
  ✅ 200  /reports/tax-summary
  ✅ 200  /reports/transaction
  ✅ 200  /reports/trial-balance
  ✅ 200  /reports-daily-pos
  ✅ 200  /reports-daily-purchase
  ↪  302  /reports-deal
  ↪  302  /reports-lead
  ✅ 200  /reports-leave
  ↪  302  /reports-monthly-attendance
  ↪  302  /reports-monthly-cashflow
  ✅ 200  /reports-monthly-pos
  ✅ 200  /reports-monthly-purchase
  ✅ 200  /reports-payroll
  ✅ 200  /reports-pos-vs-purchase
  ↪  302  /reports-quarterly-cashflow
  ✅ 200  /reports-warehouse

--- RECRUITMENT ---
  ✅ 200  /jobs
  ✅ 200  /jobs/create
  ✅ 200  /job-application
  ✅ 200  /job-applications/create
  ✅ 200  /job-category
  ✅ 200  /job-categories/create
  ✅ 200  /job-stage
  ✅ 200  /job-stages/create
  ✅ 200  /interview-schedule
  ✅ 200  /interview-schedules/create
  ✅ 200  /job-onboard
  ✅ 200  /candidates-job-applications
  ✅ 200  /custom-question
  ✅ 200  /custom-questions/create

--- CONTRACTS ---
  ✅ 200  /contracts
  ✅ 200  /contracts/create
  ✅ 200  /contracts/grid
  ✅ 200  /contract_types
  ✅ 200  /contract_types/create

--- ADMIN ---
  ✅ 200  /users
  ✅ 200  /users/create
  ✅ 200  /users-view
  ↪  302  /users/logs
  ✅ 200  /roles
  ↪  302  /roles/create
  ✅ 200  /permissions
  ✅ 200  /permissions/create
  ✅ 200  /settings
  ✅ 200  /email_template
  ❌ 404  /email_templates/create
  ↪  302  /notification_templates
  ↪  302  /notification_templates/create
  ✅ 200  /systems
  ✅ 200  /custom_fields
  ✅ 200  /custom_fields/create
  ✅ 200  /plans
  ✅ 200  /plans/create
  ✅ 200  /plan_requests

--- ASSETS ---
  ✅ 200  /account_assets
  ✅ 200  /account_assets/create
  ✅ 200  /account_statements/export

--- SUPPORT ---
  ✅ 200  /supports
  ✅ 200  /supports/create
  ✅ 200  /supports/grid

--- SAAS ---
  ✅ 200  /customers
  ✅ 200  /customers/create
  ↪  302  /customers/export
  ✅ 200  /commissions
  ↪  302  /commissions/create
  ✅ 200  /discover
  ✅ 200  /discover/create

--- COMMUNICATION ---
  ✅ 200  /chats
  ↪  302  /events
  ✅ 200  /events/create
  ✅ 200  /zoom_meetings
  ✅ 200  /zoom_meetings/create

--- FRONTEND ---
  ✅ 200  /home_section
  ✅ 200  /features
  ✅ 200  /faqs
  ✅ 200  /testimonials
  ✅ 200  /join_us
  ✅ 200  /custom_pages
  ✅ 200  /landingpage
  ↪  302  /about-us
  ↪  302  /privacy-policy
  ↪  302  /terms-and-conditions

--- MISC ---
  ✅ 200  /profile
  ✅ 200  /search
  ✅ 200  /home
  ✅ 200  /leave
